Name,Cost,Type,Effect
Cauldron's Gift,{4}{B},Sorcery,"Adamant â€” If at least three black mana was spent to cast this spell, put the top four cards of your library into your graveyard. You may choose a creature card in your graveyard. If you do, return it to the battlefield with an additional +1/+1 counter on it."
Cavalcade of Calamity,{1}{R},Enchantment,"Whenever a creature you control with power 1 or less attacks, Cavalcade of Calamity deals 1 damage to the player or planeswalker that creature is attacking."
Cavalier of Dawn,{2}{W}{W}{W},Creature â€” Elemental Knight,"Vigilance When Cavalier of Dawn enters the battlefield, destroy up to one target nonland permanent. Its controller creates a 3/3 colorless Golem artifact creature token. When Cavalier of Dawn dies, return target artifact or enchantment card from your graveyard to your hand."
Cavalier of Flame,{2}{R}{R}{R},Creature â€” Elemental Knight,"{1}{R}: Creatures you control get +1/+0 and gain haste until end of turn. When Cavalier of Flame enters the battlefield, discard any number of cards, then draw that many cards. When Cavalier of Flame dies, it deals X damage to each opponent and each planeswalker they control, where X is the number of land cards in your graveyard."
Cavalier of Gales,{2}{U}{U}{U},Creature â€” Elemental Knight,"Flying When Cavalier of Gales enters the battlefield, draw three cards, then put two cards from your hand on top of your library in any order. When Cavalier of Gales dies, shuffle it into its owner's library, then scry 2."
Cavalier of Night,{2}{B}{B}{B},Creature â€” Elemental Knight,"Lifelink When Cavalier of Night enters the battlefield, you may sacrifice another creature. When you do, destroy target creature an opponent controls. When Cavalier of Night dies, return target creature card with converted mana cost 3 or less from your graveyard to the battlefield."
Cavalier of Thorns,{2}{G}{G}{G},Creature â€” Elemental Knight,"Reach When Cavalier of Thorns enters the battlefield, reveal the top five cards of your library. Put a land card from among them onto the battlefield and the rest into your graveyard. When Cavalier of Thorns dies, you may exile it. If you do, put another target card from your graveyard on top of your library."
Celestial Messenger,{2}{U}{U},Creature â€” Bird Spirit,Flash (You may cast this card any time you could cast an instant.) Flying Celestial Messenger gets +1/+1 as long as you control a Yanling planeswalker.
Centaur Courser,{2}{G},Creature â€” Centaur Warrior,nan
Centaur Nurturer,{3}{G},Creature â€” Centaur Druid,"When Centaur Nurturer enters the battlefield, you gain 3 life. {T}: Add one mana of any color."
Centaur Peacemaker,{1}{G}{W},Creature â€” Centaur Cleric,"When Centaur Peacemaker enters the battlefield, each player gains 4 life."
Cerulean Drake,{1}{U},Creature â€” Drake,"Flying Protection from red (This creature can't be blocked, targeted, dealt damage, enchanted, or equipped by anything red.) Sacrifice Cerulean Drake: Counter target spell that targets you."
Chainwhip Cyclops,{4}{R},Creature â€” Cyclops Warrior,{3}{R}: Target creature can't block this turn.
Challenger Troll,{4}{G},Creature â€” Troll,Each creature you control with power 4 or greater can't be blocked by more than one creature.
Chamber Sentry,{X},Artifact Creature â€” Construct,"Chamber Sentry enters the battlefield with a +1/+1 counter on it for each color of mana spent to cast it. {X}, {T}, Remove X +1/+1 counters from Chamber Sentry: It deals X damage to any target. {W}{U}{B}{R}{G}: Return Chamber Sentry from your graveyard to your hand."
Chance for Glory,{1}{R}{W},Instant,"Creatures you control gain indestructible. Take an extra turn after this one. At the beginning of that turn's end step, you lose the game."
Chandra's Embercat,{1}{R},Creature â€” Elemental Cat,{T}: Add {R}. Spend this mana only to cast an Elemental spell or a Chandra planeswalker spell.
Chandra's Flame Wave,{3}{R}{R},Sorcery,"Chandra's Flame Wave deals 2 damage to target player and each creature that player controls. Search your library and/or graveyard for a card named Chandra, Flame's Fury, reveal it, and put it into your hand. If you search your library this way, shuffle it."
Chandra's Outrage,{2}{R}{R},Instant,Chandra's Outrage deals 4 damage to target creature and 2 damage to that creature's controller.
Chandra's Pyrohelix,{1}{R},Instant,Chandra's Pyrohelix deals 2 damage divided as you choose among one or two targets.
Chandra's Regulator,{1}{R},Legendary Artifact,"Whenever you activate a loyalty ability of a Chandra planeswalker, you may pay {1}. If you do, copy that ability. You may choose new targets for the copy. {1}, {T}, Discard a Mountain card or a red card: Draw a card."
Chandra's Spitfire,{2}{R},Creature â€” Elemental,"Flying Whenever an opponent is dealt noncombat damage, Chandra's Spitfire gets +3/+0 until end of turn."
Chandra's Triumph,{1}{R},Instant,Chandra's Triumph deals 3 damage to target creature or planeswalker an opponent controls. Chandra's Triumph deals 5 damage to that permanent instead if you control a Chandra planeswalker.
"Chandra, Acolyte of Flame",{1}{R}{R},Legendary Planeswalker â€” Chandra,"[0]: Put a loyalty counter on each red planeswalker you control. [0]: Create two 1/1 red Elemental creature tokens. They gain haste. Sacrifice them at the beginning of the next end step. [âˆ’2]: You may cast target instant or sorcery card with converted mana cost 3 or less from your graveyard. If that card would be put into your graveyard this turn, exile it instead."
"Chandra, Awakened Inferno",{4}{R}{R},Legendary Planeswalker â€” Chandra,"This spell can't be countered. [+2]: Each opponent gets an emblem with ""At the beginning of your upkeep, this emblem deals 1 damage to you."" [âˆ’3]: Chandra, Awakened Inferno deals 3 damage to each non-Elemental creature. âˆ’X: Chandra, Awakened Inferno deals X damage to target creature or planeswalker. If a permanent dealt damage this way would die this turn, exile it instead."
"Chandra, Fire Artisan",{2}{R}{R},Legendary Planeswalker â€” Chandra,"Whenever one or more loyalty counters are removed from Chandra, Fire Artisan, she deals that much damage to target opponent or planeswalker. [+1]: Exile the top card of your library. You may play it this turn. [âˆ’7]: Exile the top seven cards of your library. You may play them this turn."
"Chandra, Flame's Fury",{4}{R}{R},Legendary Planeswalker â€” Chandra,"[+1]: Chandra, Flame's Fury deals 2 damage to any target. [âˆ’2]: Chandra, Flame's Fury deals 4 damage to target creature and 2 damage to that creature's controller. [âˆ’8]: Chandra, Flame's Fury deals 10 damage to target player and each creature that player controls."
"Chandra, Novice Pyromancer",{3}{R},Legendary Planeswalker â€” Chandra,"[+1]: Elementals you control get +2/+0 until end of turn. [âˆ’1]: Add {R}{R}. [âˆ’2]: Chandra, Novice Pyromancer deals 2 damage to any target."
Charging War Boar,{1}{R}{G},Creature â€” Boar,"Haste (This creature can attack and {T} as soon as it comes under your control.) As long as you control a Domri planeswalker, Charging War Boar gets +1/+1 and has trample. (It can deal excess damage to the player or planeswalker it's attacking.)"
Charity Extractor,{3}{B},Creature â€” Human Knight,Lifelink
Charmed Sleep,{1}{U}{U},Enchantment â€” Aura,"Enchant creature When Charmed Sleep enters the battlefield, tap enchanted creature. Enchanted creature doesn't untap during its controller's untap step."
Charmed Stray,{W},Creature â€” Cat,"Lifelink When Charmed Stray enters the battlefield, put a +1/+1 counter on each other creature you control named Charmed Stray."
Charming Prince,{1}{W},Creature â€” Human Noble,"When Charming Prince enters the battlefield, choose one â€” â€¢ Scry 2. â€¢ You gain 3 life. â€¢ Exile another target creature you own. Return it to the battlefield under your control at the beginning of the next end step."
Charnel Troll,{1}{B}{G},Creature â€” Troll,"Trample At the beginning of your upkeep, exile a creature card from your graveyard. If you do, put a +1/+1 counter on Charnel Troll. Otherwise, sacrifice it. {B}{G}, Discard a creature card: Put a +1/+1 counter on Charnel Troll."
Chemister's Insight,{3}{U},Instant,Draw two cards. Jump-start (You may cast this card from your graveyard by discarding a card in addition to paying its other costs. Then exile this card.)
Child of Night,{1}{B},Creature â€” Vampire,Lifelink
Chillbringer,{4}{U},Creature â€” Elemental,"Flying When Chillbringer enters the battlefield, tap target creature an opponent controls. It doesn't untap during its controller's next untap step."
Chittering Witch,{3}{B},Creature â€” Human Warlock,"When Chittering Witch enters the battlefield, create a number of 1/1 black Rat creature tokens equal to the number of opponents you have. {1}{B}, Sacrifice a creature: Target creature gets -2/-2 until end of turn."
Chop Down,{2}{W},Instant â€” Adventure,Destroy target creature with power 4 or greater. (Then exile this card. You may cast the creature later from exile.)
Chromatic Lantern,{3},Artifact,"Lands you control have ""{T}: Add one mana of any color."" {T}: Add one mana of any color."
"Chulane, Teller of Tales",{2}{G}{W}{U},Legendary Creature â€” Human Druid,"Vigilance Whenever you cast a creature spell, draw a card, then you may put a land card from your hand onto the battlefield. {3}, {T}: Return target creature you control to its owner's hand."
Cindervines,{R}{G},Enchantment,"Whenever an opponent casts a noncreature spell, Cindervines deals 1 damage to that player. {1}, Sacrifice Cindervines: Destroy target artifact or enchantment. Cindervines deals 2 damage to that permanent's controller."
Circuitous Route,{3}{G},Sorcery,"Search your library for up to two basic land cards and/or Gate cards, put them onto the battlefield tapped, then shuffle your library."
Citywatch Sphinx,{5}{U},Creature â€” Sphinx,"Flying When Citywatch Sphinx dies, surveil 2. (Look at the top two cards of your library, then put any number of them into your graveyard and the rest on the top of your library in any order.)"
Citywide Bust,{1}{W}{W},Sorcery,Destroy all creatures with toughness 4 or greater.
Civic Stalwart,{3}{W},Creature â€” Elephant Soldier,"When Civic Stalwart enters the battlefield, creatures you control get +1/+1 until end of turn."
Clackbridge Troll,{3}{B}{B},Creature â€” Troll,"Trample, haste When Clackbridge Troll enters the battlefield, target opponent creates three 0/1 white Goat creature tokens. At the beginning of combat on your turn, any opponent may sacrifice a creature. If a player does, tap Clackbridge Troll, you gain 3 life, and you draw a card."
Claim the Firstborn,{R},Sorcery,Gain control of target creature with converted mana cost 3 or less until end of turn. Untap that creature. It gains haste until end of turn.
Clamor Shaman,{2}{R},Creature â€” Goblin Shaman,"Riot (This creature enters the battlefield with your choice of a +1/+1 counter or haste.) Whenever Clamor Shaman attacks, target creature an opponent controls can't block this turn."
Clan Guildmage,{R}{G},Creature â€” Human Shaman,"{1}{R}, {T}: Target creature can't block this turn. {2}{G}, {T}: Target land you control becomes a 4/4 Elemental creature with haste until end of turn. It's still a land."
Clear the Mind,{2}{U},Sorcery,Target player shuffles their graveyard into their library. Draw a card.
Clear the Stage,{4}{B},Instant,"Target creature gets -3/-3 until end of turn. If you control a creature with power 4 or greater, you may return up to one target creature card from your graveyard to your hand."
Clockwork Servant,{3},Artifact Creature â€” Gnome,"Adamant â€” When Clockwork Servant enters the battlefield, if at least three mana of the same color was spent to cast it, draw a card."
